,Cities,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph)
0,qaanaaq,77.484,-69.3632,37.56,74,72,6.76
1,upernavik,72.7868,-56.1549,36.59,89,89,3.06
2,dikson,73.5069,80.5464,31.87,98,100,19.08
3,longyearbyen,78.2186,15.6401,23.0,63,20,11.5
4,hamilton,39.1834,-84.5333,66.27,39,1,6.91
5,zabol,32.25,67.25,70.43,13,0,9.86
6,saint george,37.1041,-113.5841,57.09,44,90,23.02
7,ribeira grande,38.5167,-28.7,64.4,72,40,6.91
8,semirom,31.4167,51.5667,55.78,50,59,3.38
9,pokhara,28.2333,83.9833,73.67,18,0,7.76
10,khorramshahr,30.4397,48.1664,89.6,33,0,9.22
11,ponta delgada,37.7333,-25.6667,62.6,82,40,11.5
12,teguise,29.0605,-13.564,75.2,43,20,18.41
13,bogalusa,30.791,-89.8487,77.29,44,1,4.29
14,ajdabiya,30.7554,20.2263,67.46,51,8,9.86
15,ramshir,30.8946,49.4092,89.62,19,0,9.22
16,saint simons,31.1352,-81.3901,74.86,64,1,16.11
17,zhob,31.3411,69.4481,77.58,22,12,7.63
18,kerman,30.2832,57.0788,71.6,24,75,9.22
19,alexandria,31.2156,29.9553,68.0,56,40,11.5
20,valdosta,30.8327,-83.2785,77.34,50,40,5.61
21,lasa,46.6166,10.7002,50.95,93,40,6.91
22,adrar,20.5022,-10.0711,98.96,12,23,6.46
23,marrakesh,31.6315,-8.0083,75.2,43,40,18.41
24,wilmington,34.2257,-77.9447,71.82,37,1,4.61
25,jumla,29.2747,82.1838,51.33,49,44,4.09
26,chaman,30.9236,66.4512,77.9,14,8,5.46
27,havelock,34.8791,-76.9013,70.14,46,1,8.05
28,marsa matruh,31.3525,27.2453,66.2,63,0,13.8
29,sabathu,30.9719,76.9933,67.44,25,1,6.29
30,nalut,30.3333,10.85,95.49,11,26,7.23
31,bardiyah,31.7561,25.0865,63.43,67,0,14.61
32,surt,31.2089,16.5887,68.34,63,71,22.32
33,bayir,37.2687,28.2167,69.8,35,20,13.8
34,mount pleasant,32.7941,-79.8626,71.51,46,1,10.33
35,yeroham,30.9872,34.9314,63.0,100,0,14.41
36,torbay,47.6666,-52.7314,47.05,53,90,24.16
37,bafq,31.6128,55.4107,79.54,27,89,5.39
38,kingsland,30.8,-81.6898,77.99,55,0,4.0
39,pishin,30.5803,66.9961,75.61,15,44,4.43
40,los llanos de aridane,28.6585,-17.9182,66.99,60,75,6.91
41,ponta do sol,32.6667,-17.1,65.52,68,20,11.5
42,narsaq,60.9167,-46.05,41.0,81,75,10.36
43,calama,-22.4667,-68.9333,68.0,6,0,8.05
44,bambous virieux,-20.3428,57.7575,77.02,78,75,13.8
45,pompeia,-22.1086,-50.1717,82.4,47,75,8.05
46,vila velha,-20.3297,-40.2925,86.14,62,20,12.66
47,saint-leu,-21.15,55.2833,72.3,73,100,11.5
48,hithadhoo,-0.6,73.0833,83.35,62,12,4.21
49,tocopilla,-22.092,-70.1979,71.76,59,4,5.12
50,ambalavao,-21.8333,46.9333,64.4,94,100,4.45
51,caravelas,-17.7125,-39.2481,84.47,58,68,9.84
52,jamestown,42.097,-79.2353,43.86,41,1,5.75
53,pisco,-13.7,-76.2167,67.87,88,40,9.22
54,gobabis,-22.45,18.9667,71.02,24,0,9.44
55,manakara,-22.1333,48.0167,73.0,90,100,4.9
56,souillac,-20.5167,57.5167,78.8,78,75,13.8
57,filadelfia,39.9523,-75.1638,53.96,37,1,11.5
58,beitbridge,-22.2167,30.0,75.63,26,0,2.53
59,bengkulu,-3.8004,102.2655,76.12,91,33,4.94
60,san carlos,9.6612,-68.5827,96.76,33,99,6.4
